diameter_um,realised_percent,envelope_low_percent,envelope_high_percent
100.73461218,0.07805785,-0.00274470,0.11558802
100.73561301,0.07706755,-0.00373420,0.11459735
100.73661384,0.07607004,-0.00473090,0.11359947
100.73761468,0.07507978,-0.00572036,0.11260884
100.73861551,0.07408231,-0.00671703,0.11161100
100.73961635,0.07309209,-0.00770645,0.11062040
100.74061718,0.07209466,-0.00870307,0.10962260
100.74161802,0.07109725,-0.00969968,0.10862482
100.74261885,0.07010709,-0.01068904,0.10763428
100.74361968,0.06910972,-0.01168560,0.10663654
100.74462052,0.06811960,-0.01267493,0.10564605
100.74562135,0.06712227,-0.01367145,0.10464834
100.74662219,0.06613219,-0.01466073,0.10365789
100.74762302,0.06513490,-0.01565722,0.10266023
100.74862385,0.06414485,-0.01664646,0.10166981
100.74962469,0.06314760,-0.01764291,0.10067219
100.75062552,0.06215037,-0.01863933,0.09967458
100.75162636,0.06116039,-0.01962852,0.09868422
100.75262719,0.06016320,-0.02062491,0.09768666
100.75362802,0.05917325,-0.02161405,0.09669634
100.75462886,0.05817610,-0.02261040,0.09569882
100.75562969,0.05718619,-0.02359951,0.09470854
100.75663053,0.05618908,-0.02459581,0.09371105
100.75763136,0.05519922,-0.02558488,0.09272082
100.75863219,0.05420214,-0.02658115,0.09172337
100.75963303,0.05320509,-0.02757739,0.09072594
100.76063386,0.05221528,-0.02856640,0.08973577
100.76163470,0.05121827,-0.02956261,0.08873838
100.76263553,0.05022850,-0.03055158,0.08774824
100.76363636,0.04923153,-0.03154775,0.08675089
100.76463720,0.04824180,-0.03253668,0.08576079
100.76563803,0.04724487,-0.03353281,0.08476348
100.76663887,0.04625518,-0.03452170,0.08377342
100.76763970,0.04525828,-0.03551779,0.08277616
100.76864053,0.04426863,-0.03650664,0.08178613
100.76964137,0.04327178,-0.03750269,0.08078891
100.77064220,0.04227494,-0.03849872,0.07979170
100.77164304,0.04128535,-0.03948751,0.07880173
100.77264387,0.04028856,-0.04048350,0.07780457
100.77364470,0.03929900,-0.04147225,0.07681464
100.77464554,0.03830225,-0.04246820,0.07581751
100.77564637,0.03731274,-0.04345692,0.07482763
100.77664721,0.03631602,-0.04445283,0.07383054
100.77764804,0.03532655,-0.04544150,0.07284069
100.77864887,0.03432987,-0.04643738,0.07184364
100.77964971,0.03333321,-0.04743323,0.07084661
100.78065054,0.03234380,-0.04842184,0.06985683
100.78165138,0.03134718,-0.04941765,0.06885984
100.78265221,0.03035781,-0.05040623,0.06787009
100.78365304,0.02936123,-0.05140200,0.06687314
100.78465388,0.02837189,-0.05239054,0.06588343
100.78565471,0.02737536,-0.05338627,0.06488652
100.78665555,0.02638606,-0.05437477,0.06389685
100.78765638,0.02538956,-0.05537047,0.06289998
100.78865721,0.02439308,-0.05636614,0.06190313
100.78965805,0.02340384,-0.05735458,0.06091352
100.79065888,0.02240741,-0.05835021,0.05991671
100.79165972,0.02141821,-0.05933861,0.05892714
100.79266055,0.02042181,-0.06033421,0.05793037
100.79366138,0.01943265,-0.06132257,0.05694084
100.79466222,0.01843629,-0.06231812,0.05594410
100.79566305,0.01744717,-0.06330644,0.05495461
100.79666389,0.01645085,-0.06430196,0.05395792
100.79766472,0.01545455,-0.06529746,0.05296125
100.79866555,0.01446549,-0.06628572,0.05197181
100.79966639,0.01346923,-0.06728117,0.05097518
100.80066722,0.01248021,-0.06826940,0.04998579
100.80166806,0.01148398,-0.06926481,0.04898919
100.80266889,0.01049500,-0.07025300,0.04799984
100.80366972,0.00949882,-0.07124838,0.04700328
100.80467056,0.00850988,-0.07223652,0.04601397
100.80567139,0.00751374,-0.07323186,0.04501745
100.80667223,0.00651761,-0.07422718,0.04402096
100.80767306,0.00552873,-0.07521526,0.04303170
100.80867389,0.00453265,-0.07621054,0.04203525
100.80967473,0.00354380,-0.07719859,0.04104603
100.81067556,0.00254776,-0.07819383,0.04004962
100.81167640,0.00155895,-0.07918183,0.03906044
100.81267723,0.00056295,-0.08017703,0.03806406
100.81367807,-0.00042582,-0.08116500,0.03707492
