true_state,decoded_state
10.04173623,10.04225318
10.04190317,10.04225318
10.04207012,10.04225318
10.04223706,10.04225318
10.04240401,10.04225318
10.04257095,10.04225318
10.0427379,10.04225318
10.04290484,10.04225318
10.04307179,10.04225318
10.04323873,10.04225318
10.04340568,10.04225318
10.04357262,10.04225318
10.04373957,10.04225318
10.04390651,10.04225318
10.04407346,10.04225318
10.0442404,10.04225318
10.04440735,10.04225318
10.04457429,10.04225318
10.04474124,10.04225318
10.04490818,10.04225318
10.04507513,10.04225318
10.04524207,10.04225318
10.04540902,10.04225318
10.04557596,10.04225318
10.0457429,10.04225318
10.04590985,10.04225318
10.04607679,10.04225318
10.04624374,10.04225318
10.04641068,10.04225318
10.04657763,10.05072522
10.04674457,10.05072522
10.04691152,10.05072522
10.04707846,10.05072522
10.04724541,10.05072522
10.04741235,10.05072522
10.0475793,10.05072522
10.04774624,10.05072522
10.04791319,10.05072522
10.04808013,10.05072522
10.04824708,10.05072522
10.04841402,10.05072522
10.04858097,10.05072522
10.04874791,10.05072522
10.04891486,10.05072522
10.0490818,10.05072522
10.04924875,10.05072522
10.04941569,10.05072522
10.04958264,10.05072522
10.04974958,10.05072522
10.04991653,10.05072522
10.05008347,10.05072522
10.05025042,10.05072522
10.05041736,10.05072522
10.05058431,10.05072522
10.05075125,10.05072522
10.0509182,10.05072522
10.05108514,10.05072522
10.05125209,10.05072522
10.05141903,10.05072522
10.05158598,10.05072522
10.05175292,10.05072522
10.05191987,10.05072522
10.05208681,10.05072522
10.05225376,10.05072522
10.0524207,10.05072522
10.05258765,10.05072522
10.05275459,10.05072522
10.05292154,10.05072522
10.05308848,10.05072522
10.05325543,10.05072522
10.05342237,10.05072522
10.05358932,10.05072522
10.05375626,10.05072522
10.05392321,10.05072522
10.05409015,10.05072522
10.0542571,10.05072522
10.05442404,10.05072522
10.05459098,10.05072522
10.05475793,10.05072522
10.05492487,10.05072522
10.05509182,10.0592044
10.05525876,10.0592044
10.05542571,10.0592044
10.05559265,10.0592044
10.0557596,10.0592044
10.05592654,10.0592044
10.05609349,10.0592044
10.05626043,10.0592044
10.05642738,10.0592044
10.05659432,10.0592044
10.05676127,10.0592044
10.05692821,10.0592044
10.05709516,10.0592044
10.0572621,10.0592044
10.05742905,10.0592044
10.05759599,10.0592044
10.05776294,10.0592044
10.05792988,10.0592044
10.05809683,10.0592044
10.05826377,10.0592044
10.05843072,10.0592044
10.05859766,10.0592044
10.05876461,10.0592044
10.05893155,10.0592044
10.0590985,10.0592044
10.05926544,10.0592044
10.05943239,10.0592044
10.05959933,10.0592044
10.05976628,10.0592044
10.05993322,10.0592044
10.06010017,10.0592044
10.06026711,10.0592044
10.06043406,10.0592044
10.060601,10.0592044
10.06076795,10.0592044
10.06093489,10.0592044
10.06110184,10.0592044
10.06126878,10.0592044
10.06143573,10.0592044
10.06160267,10.0592044
10.06176962,10.0592044
10.06193656,10.0592044
10.06210351,10.0592044
10.06227045,10.0592044
10.0624374,10.0592044
10.06260434,10.0592044
10.06277129,10.0592044
10.06293823,10.0592044
10.06310518,10.0592044
10.06327212,10.0592044
10.06343907,10.0592044
10.06360601,10.06769074
10.06377295,10.06769074
10.0639399,10.06769074
10.06410684,10.06769074
10.06427379,10.06769074
10.06444073,10.06769074
10.06460768,10.06769074
10.06477462,10.06769074
10.06494157,10.06769074
10.06510851,10.06769074
10.06527546,10.06769074
10.0654424,10.06769074
10.06560935,10.06769074
10.06577629,10.06769074
10.06594324,10.06769074
10.06611018,10.06769074
10.06627713,10.06769074
10.06644407,10.06769074
10.06661102,10.06769074
10.06677796,10.06769074
10.06694491,10.06769074
10.06711185,10.06769074
10.0672788,10.06769074
10.06744574,10.06769074
10.06761269,10.06769074
10.06777963,10.06769074
10.06794658,10.06769074
10.06811352,10.06769074
10.06828047,10.06769074
10.06844741,10.06769074
10.06861436,10.06769074
10.0687813,10.06769074
10.06894825,10.06769074
10.06911519,10.06769074
10.06928214,10.06769074
10.06944908,10.06769074
10.06961603,10.06769074
10.06978297,10.06769074
10.06994992,10.06769074
10.07011686,10.06769074
10.07028381,10.06769074
10.07045075,10.06769074
10.0706177,10.06769074
10.07078464,10.06769074
10.07095159,10.06769074
10.07111853,10.06769074
10.07128548,10.06769074
10.07145242,10.06769074
10.07161937,10.06769074
10.07178631,10.06769074
10.07195326,10.07618423
10.0721202,10.07618423
10.07228715,10.07618423
